 =>4  5  2  11  -5  0  6  1 unsorted                        
# 4    5   2   11   -5   0   6   1
# 4    2   5   11   -5   0   6   1
# 4    2   5   -5   11   0   6   1
# 4    2   5   -5    0   11  6   1
# 4    2   5   -5    0   6   11  1
# 4    2   5   -5    0   6   1   11 =>first pass
# 2    4   5   -5    0   6   1  11
# 2    4   -5   5    0   6   1  11
# 2    4   -5   0    5   6   1  11
# 2   4   -5    0    5   1   6  11 =>second pass
# 2   -5   4    0    5   1   6  11
# 2  -5    0   4    5   1    6  11
# 2   -5   0   4   5   1    6  11 =>third pass
# -5   2   0   4   5    1   6  11
# -5   0   2   4   1    5  6  11
# -5   0   2    1  4   5  6  11 =>fourth pass
# -5  0   1     2   4   5  6  11 =>fifth pass


